dataset,workload,trace_tag,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
gap,cc,cc.twitter-85B,100000000,246208800,0.406159,1704940,354636,1350304,13.503,0.791995,1350304,0.791995,0,0,0,0,0,0,0,0
gap,cc,cc.urand-353B,100000000,246403341,0.405839,2703697,442496,2261201,22.612,0.836337,2261201,0.836337,0,0,0,0,0,0,0,0
gap,cc,cc.web-101B,100000000,245511016,0.407314,168799,35084,133715,1.33715,0.792155,133715,0.792155,0,0,0,0,0,0,0,0
gap,cc,cc.web-13B,100000001,123327696,0.810848,147312,35534,111778,1.11778,0.758784,111763,0.758682,15,0.000101825,0,0,0,0,0,0
gap,cc,cc.web-34B,100000005,143936306,0.694752,149038,20042,128996,1.28996,0.865524,128996,0.865524,0,0,0,0,0,0,0,0
gap,cc,cc.web-99B,100000002,145062993,0.689356,146862,17844,129018,1.29018,0.878498,129018,0.878498,0,0,0,0,0,0,0,0
gap,pr,pr.kron-349B,100000001,4221956383,0.0236857,17560050,277866,17282184,172.822,0.984176,17282184,0.984176,0,0,0,0,0,0,0,0
gap,pr,pr.kron-90B,100000003,4242354768,0.0235718,17059131,262251,16796880,167.969,0.984627,16796880,0.984627,0,0,0,0,0,0,0,0
gap,pr,pr.twitter-168B,100000000,2994185445,0.0333981,16944197,3028286,13915911,139.159,0.821279,13915911,0.821279,0,0,0,0,0,0,0,0
gap,pr,pr.twitter-2161B,100000002,1999014355,0.0500247,8368108,1174258,7193850,71.9385,0.859675,7193850,0.859675,0,0,0,0,0,0,0,0
gap,pr,pr.twitter-2741B,100000004,3113994562,0.0321131,16854000,2654036,14199964,142,0.842528,14199964,0.842528,0,0,0,0,0,0,0,0
gap,pr,pr.twitter-3197B,100000002,3173456488,0.0315114,16884388,2477347,14407041,144.07,0.853276,14407041,0.853276,0,0,0,0,0,0,0,0
gap,pr,pr.twitter-833B,100000002,3549659657,0.0281717,17040325,1319659,15720666,157.207,0.922557,15720666,0.922557,0,0,0,0,0,0,0,0
gap,pr,pr.urand-2209B,100000003,4644227250,0.0215321,18203969,459750,17744219,177.442,0.974745,17744219,0.974745,0,0,0,0,0,0,0,0
gap,sssp,sssp.kron-246B,100000004,545993418,0.183152,7735246,265003,7470243,74.7024,0.965741,7470243,0.965741,0,0,0,0,0,0,0,0
gap,sssp,sssp.road-66B,100000005,285065460,0.350797,1976408,1530737,445671,4.45671,0.225495,444591,0.224949,1080,0.000546446,0,0,0,0,0,0
gap,sssp,sssp.twitter-1116B,100000005,375053291,0.266629,2967032,794875,2172157,21.7216,0.732098,2172157,0.732098,0,0,0,0,0,0,0,0
gap,sssp,sssp.twitter-792B,100000002,978599756,0.102187,6497902,432965,6064937,60.6494,0.933368,6064905,0.933364,32,4.92467e-06,0,0,0,0,0,0
