dataset,workload,trace_tag,discard_pgc_ipc,pref_ipc,pref_speedup,ideal_demand_ipc,ideal_demand_speedup,ideal_l1pref_ipc,ideal_l1pref_speedup,ideal_all_ipc,ideal_all_speedup
gap,tc,tc.urand-187B,0.14489199999999999,0.14460899999999999,0.99804682108052889,0.227243,1.5683612621814871,0.14504600000000001,1.0010628606134224,0.22744500000000001,1.569755404025067
gap,tc,tc.urand-455B,0.115896,0.115922,1.0002243390626078,0.18085499999999999,1.5604938910747566,0.11594699999999999,1.0004400496997308,0.18085599999999999,1.5605025195002415
gap,tc,tc.urand-504B,0.130384,0.13045899999999999,1.0005752239538592,0.20365,1.5619247760461406,0.13047600000000001,1.0007056080500676,0.20372199999999999,1.5624769910418455
gap,tc,tc.urand-825B,0.073729600000000006,0.073986399999999994,1.0034829973307868,0.101837,1.3812227382218267,0.074134699999999998,1.005494401163169,0.101838,1.3812363012955446
ligra,ligra_BC,ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_26750M.length_250M,0.55166300000000001,0.55940900000000005,1.0140411809383627,0.56624699999999994,1.0264364294868424,0.55912200000000001,1.0135209357886972,0.56644799999999995,1.0268007823616954
ligra,ligra_BFS,ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_21500M.length_250M,0.60267199999999999,0.62271900000000002,1.0332635330660791,0.63325200000000004,1.0507407014097221,0.62414800000000004,1.0356346404014125,0.63503399999999999,1.0536975336501446
ligra,ligra_BellmanFord,ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_33750M.length_250M,0.39279999999999998,0.40173300000000001,1.0227418533604888,0.41558200000000001,1.0579989816700612,0.40292699999999998,1.025781568228106,0.41550300000000001,1.0577978615071284
ligra,ligra_CF,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M,1.05196,1.07325,1.0202384121069243,1.4463900000000001,1.3749477166432185,1.07372,1.0206851971557853,1.4499599999999999,1.3783413818015893
ligra,ligra_Components,ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_22750M.length_250M,0.45033899999999999,0.453374,1.0067393674542955,0.45805299999999999,1.0171293181358931,0.45405000000000001,1.0082404588543299,0.45885700000000001,1.0189146398601943
ligra,ligra_Components-Shortcut,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M,0.46434900000000001,0.467553,1.0068999825562239,0.47050399999999998,1.0132551163026084,0.46678700000000001,1.00525036125845,0.46968700000000002,1.0114956638218238
ligra,ligra_PageRank,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_21750M.length_250M,0.58738999999999997,0.590144,1.0046885374282846,0.607626,1.0344507056640393,0.59117399999999998,1.0064420572362485,0.60936500000000005,1.0374112599805922
ligra,ligra_PageRank,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_60750M.length_250M,0.81986499999999995,0.85189300000000001,1.0390649680130266,0.85836599999999996,1.0469601702719351,0.85448500000000005,1.0422264641129944,0.86144900000000002,1.0507205454556543
ligra,ligra_PageRank,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_79500M.length_250M,0.50785599999999997,0.51149,1.0071555716581078,0.52846700000000002,1.0405843388677107,0.51268800000000003,1.009514508049526,0.52978199999999998,1.0431736555244007
ligra,ligra_PageRankDelta,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M,0.63631199999999999,0.64897000000000005,1.0198927570122833,0.65966499999999995,1.0367005494160098,0.64880300000000002,1.0196303071449226,0.66162600000000005,1.0397823709123828
