dataset,workload,trace_tag,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
gap,bfs,bfs.road-128B,100000000,594813461,0.16812,1523708,550241,973467,9.73467,0.63888,972265,0.638091,1202,0.000788865,0,0,0,0,0,0
gap,bfs,bfs.road-140B,100000004,575779060,0.173678,1344237,485374,858863,8.58863,0.638922,857808,0.638137,1055,0.000784832,0,0,0,0,0,0
gap,bfs,bfs.road-19B,100000000,424181078,0.235748,1283639,1055663,227976,2.27976,0.177601,227369,0.177128,607,0.000472874,0,0,0,0,0,0
gap,bfs,bfs.twitter-10B,100000004,288045440,0.347167,472394,194967,277427,2.77427,0.587279,277427,0.587279,0,0,0,0,0,0,0,0
gap,bfs,bfs.twitter-160B,100000004,508276003,0.196744,3557136,3285867,271269,2.71269,0.0762605,271269,0.0762605,0,0,0,0,0,0,0,0
gap,bfs,bfs.twitter-163B,100000003,322351375,0.31022,557870,248004,309866,3.09866,0.555445,309866,0.555445,0,0,0,0,0,0,0,0
gap,bfs,bfs.twitter-242B,100000001,439952231,0.227297,853815,625636,228179,2.28179,0.267246,228179,0.267246,0,0,0,0,0,0,0,0
gap,bfs,bfs.twitter-408B,100000002,316173767,0.316282,701337,526380,174957,1.74957,0.249462,174917,0.249405,40,5.70339e-05,0,0,0,0,0,0
gap,bfs,bfs.twitter-44B,100000005,302222303,0.330882,6798032,6510747,287285,2.87285,0.04226,287285,0.04226,0,0,0,0,0,0,0,0
gap,bfs,bfs.urand-118B,100000000,721607629,0.138579,4407130,107991,4299139,42.9914,0.975496,4299139,0.975496,0,0,0,0,0,0,0,0
gap,bfs,bfs.urand-161B,100000005,533020371,0.18761,6966339,5760033,1206306,12.0631,0.173162,1206299,0.173161,0,0,7,1.00483e-06,0,0,0,0
gap,bfs,bfs.urand-356B,100000005,659015131,0.151742,4294543,109674,4184869,41.8487,0.974462,4184869,0.974462,0,0,0,0,0,0,0,0
gap,bfs,bfs.urand-36B,100000001,349699943,0.285959,3935843,3268476,667367,6.67367,0.169561,667325,0.169551,40,1.0163e-05,2,5.0815e-07,0,0,0,0
gap,bfs,bfs.urand-410B,100000001,591733639,0.168995,5660727,5207815,452912,4.52912,0.0800095,452912,0.0800095,0,0,0,0,0,0,0,0
gap,bfs,bfs.urand-60B,100000000,565833699,0.17673,6154868,5513048,641820,6.4182,0.104278,641818,0.104278,0,0,2,3.24946e-07,0,0,0,0
gap,cc,cc.kron-10B,100000002,516361219,0.193663,1705730,530405,1175325,11.7532,0.689045,1175325,0.689045,0,0,0,0,0,0,0,0
gap,cc,cc.kron-17B,100000001,676776835,0.147759,1937756,118646,1819110,18.1911,0.938771,1819110,0.938771,0,0,0,0,0,0,0,0
gap,cc,cc.kron-78B,100000002,673495109,0.148479,1938959,118847,1820112,18.2011,0.938706,1820112,0.938706,0,0,0,0,0,0,0,0
gap,cc,cc.kron-82B,100000000,715035030,0.139853,3725601,1982258,1743343,17.4334,0.467936,1743343,0.467936,0,0,0,0,0,0,0,0
gap,cc,cc.kron-99B,100000001,522987976,0.191209,1708507,526853,1181654,11.8165,0.69163,1181654,0.69163,0,0,0,0,0,0,0,0
gap,cc,cc.twitter-10B,100000001,237950167,0.420256,2361026,869863,1491163,14.9116,0.631574,1491163,0.631574,0,0,0,0,0,0,0,0
